"","a1-3","CuLFCFe","p1-4","a1","a2-3","Cu","LFCFe","Fe","p1","p2-4"
"cin",838.778931348606,894.857839803261,666.675672135484,802.612348521505,683.315948160821,878.048202827879,897.369391330527,796.411378557447,795.380351307056,655.637368890701
"ck",739.136443385251,2212.62504967161,479.411498863814,583.04579301385,1250.22532953904,3016.92084112879,1223.81654809081,988.098893262126,511.100770714551,486.43778640554
"cl",2096.01484639679,1329.15300579271,2593.69101535573,2585.10903959878,3367.585183096,1642.07514842255,1734.06529385707,1379.63505725266,1554.89170184972,4442.79037365979
"Chc",14264.2020558763,13068.0382466171,12534.4263612425,11715.6040868409,13751.6022849792,13981.6395681365,11655.5355154207,12820.5620383558,11368.9996308782,12429.4223483981
"eya",0,12.3787489882873,0.402261468325415,6.51381157943826,0,9.73996666686477,11.4480421349301,0.362228456156678,6.8849269616347,17.3278653179933
"clt",578.445921860908,349.88004119195,792.114539010284,415.075730609615,598.034639615496,267.270890872828,443.353156979523,454.527562013621,956.637653639787,1262.86916115928
"cm",211.329650368206,322.543850317508,218.749327861704,311.464591412604,210.294415671429,350.62800604311,283.417023837489,250.423330418796,243.842664000459,248.316687374962
"cn",0.391971368541725,1.14930519797723,0.612384912155108,1.2522167837769,0.343567766351882,0.254958958084075,0.238061987745129,0.362228456156678,0.764531770922448,0
"cni",1846.38224685164,1226.29963911213,1703.8088291773,1937.79489425295,2066.48327062317,1460.06185863676,1559.32729119115,1576.63022820173,1756.9564070175,2138.40345130581
"comt",15.9286367182629,24.8584721670774,18.7028416419696,16.9702011264011,20.252361073092,25.5498631883461,35.2752225428341,19.785422872342,31.458602626371,17.6861107765618
"cort",6.70538168887944,36.1809679438596,10.06261156835,37.3608385651645,8.6141252549219,13.8541897837692,84.0005729931867,16.915231314107,70.3554171800368,39.8306973727503
"cos",250.37284733393,199.176602763532,243.985814384742,223.033014424136,195.913692040761,155.386554334073,258.745888890359,184.496614805878,369.136815300743,185.847106570896
"Cp15",51.4556534738641,122.65331251859,81.938593004281,1734.20352233057,389.937091809452,524.652441596675,74.8873137583573,400.806952903285,1795.69700013337,161.69442614329
"Cp16",8.12281790793843,35.4289177809267,13.115911081967,44.1452925562282,2.25594901909552,25.3576089963531,80.149343781994,34.0989247830718,3733.74902961453,49.387375269422
"Cp18",24.4828776061947,14.189689652688,66.9401959750053,253.268945633655,12.7053919072355,78.6769871142534,46.7768914094199,48.4345197210535,8110.92965493996,26.4056703318391
"Cp19",79.3634932570121,461.707813197883,26.7629050265779,52.2607790582805,8.33666054367831,30.2956867670415,441.733679490741,79.7518026362981,5681.38735980709,163.258382076004
"Cp36",347.756500776056,2864.73324393967,84.2708597647222,53.2247284518682,185.357814841499,50.0142733162141,17257.6104060558,61.9381826645708,317.048571094033,14113.7375553491
"Cp38",618.37982939735,3116.16502433732,139.317364295127,51.811930679558,220.469513554816,72.5523325468748,34009.0348262553,64.1257975945777,692.695334607596,26771.8903230955
"crc",10011.9725377176,11411.9744746916,8584.55950263829,10735.6066356313,10287.7724396814,12697.3659584083,9893.77631676326,10093.074314547,8917.5363745526,8408.4831134037
"crm",343.007857281937,337.724295199873,292.042800519645,291.235763379391,184.846617937481,242.201777564142,284.04154766093,254.924673773225,428.535123076866,230.357623585407
"crn",527.557725323165,559.308507002877,467.495076509923,542.588441338776,474.378618837763,561.080061866816,460.852598885291,513.623669618687,437.074826533822,498.097746763109
"csw",1539.2633021261,1239.12934988834,945.022540213933,872.635087283525,973.734771862665,1071.72420647634,809.990300718896,1101.62317489349,970.489278144112,821.608220869494
"cta",656.591273050216,432.399221359563,490.620367008199,562.08363592656,522.045774642506,387.010060230042,570.077634666744,429.256150360326,525.956030938919,440.237514905953
"cup",0,0,0,0,0,0,0,0,0,0
"cv",17.128406561194,22.9127918509656,25.2790217635971,22.6260482480008,23.5431714307491,30.4325384509101,40.9802038972674,12.1526056054006,26.3299116475258,40.8691537014023
"cv-2",356.597528527373,458.055752947334,493.144091632434,901.333519757222,649.524083274624,607.145037420401,632.634552175281,560.266887515871,526.527958395867,663.950951616944
"CycA",173.475041856782,711.114464421202,244.639185871979,936.170833813803,206.549718182302,428.197431775919,1699.38911921255,339.921875588226,2342.97625981304,551.743280454663
"CycB",224.210162757738,993.084112211266,244.252491174748,1388.96095641887,171.583048038694,608.136789502838,2979.31652357005,389.902391345442,4426.65414659208,887.287697305145
"Cyt-b5-r",181.945584318174,230.99043183451,267.955968851252,554.134644100105,212.106350248273,272.813752572115,227.573079531002,423.142349223219,359.236941344496,326.111804457212
"Cyt-c-p",3483.66229794263,5773.42946837493,4195.62170774625,5064.19072789157,6034.54542777329,7226.2815469554,4372.81702193238,5836.12970036325,5860.71100499013,8111.40790285987
"D",8.95375783692025,0.336599733829244,0.247068768824502,33.5836137011601,1.8536418520143,0.79606821735434,0,0,0.166164435239141,0
"D1",1025.8482252909,1176.58196875936,1069.27294462798,1126.01711986771,1095.66406792779,1358.20564493339,1229.65081141884,1512.01257451577,1301.15571567819,1185.26387397913
"da",1537.10547294342,1298.59105107312,1463.89348747545,1248.58670877899,1397.04456128627,1334.35912357041,1423.28478770735,1613.57647035303,1456.92829856521,1446.83232389662
"Dab",157.727960567588,139.874693465279,97.8690850347153,211.316773289239,51.8122470412298,92.877605831037,135.555551745938,92.4445557881736,227.442658152396,92.4246767747626
"Sap-r",50787.4442129998,37383.2504146104,48551.1679949916,25619.776193244,33388.4214947107,29631.3376329311,34537.2321035924,48781.8304499095,51154.6507475996,57765.5744191295
"Ddc",92.274183174227,9.14962035652162,4.15398626451644,115.24461505159,19.9327805486874,11.6708566218831,6.0289067310271,3.17768324456965,3.08167497349309,11.3074572340366
"SmF",79.8703288265684,140.256852408074,152.352744363839,188.303082030008,180.039492098718,161.397506409158,228.729159817987,232.990509743094,194.561054873958,171.406597627967
"dec-1",79.3440943646472,4016.69738601209,58.9164767011017,2763.57130288056,12.0530085333137,23.8308995325321,423.612100001925,40.1118730885255,4384.60490123441,728.505120300877
"Dfd",0,0.238052865159372,0.771102284926786,0.690053056500372,0.50335802855414,0,0,0,0,1.43755930281415
"Pkg21D",7.09735305742116,5.92392355383042,8.23894309162105,8.2851190204834,4.36703073232936,3.68547083869571,5.41905031413021,4.13922550402459,5.13461183606148,10.6677298731095
"Dhod",732.065867590606,754.136068544449,649.767336291803,961.88431688521,792.125496712012,759.664467818834,696.96104375093,691.118105446327,634.513988932215,617.412687448453
"Hr46",70.9263238128522,34.8209299911319,50.3044261725614,38.6995927252499,53.5281895941788,27.1844266642631,34.1574088692503,47.4427142306475,58.3847343961715,29.8606174483978
"dib",0,0.574652598988616,0.494137537649003,1.08563526323971,1.27492083516242,5.06848026320103,0.476123975490258,0.752442471844978,1.92972718360318,1.02039340928117
"ect",81.8740517662435,66.2568950079952,58.4909887067975,12.2707700580162,24.0722173324784,37.4347079581304,32.6939614583865,26.0853587379943,18.298107054765,65.301500453567
"Dip-B",5548.99635634406,3422.50161092544,10417.743561663,5055.33201609034,9229.19007982202,3037.5321273216,7096.6604562795,7460.94704751219,10959.7300352269,19681.0879329505
"Dip-C",2854.74510536492,2164.63263843949,4413.86199569064,1520.34080059136,3060.11027899002,1851.10689380645,4169.21587660379,3829.19997569531,6054.43619356712,6664.70367505799
"disco",21.9800954265841,21.0829495522811,24.5705120028874,8.84728274775992,21.0239238797002,27.1251268048445,25.1169591207111,44.3619975084983,10.1327663703669,17.9066970852978
"Dl",156.002080257867,187.047712351214,266.398078121624,205.867935615427,244.840258781578,191.200166727824,370.533088091397,471.270340158806,486.452029657421,243.243320642611
"Lar",859.6128286989,745.134315213208,726.514252231102,735.746719454183,833.671134515074,736.462896782239,626.891724591234,542.201238785887,602.819349122378,444.286574568893
"Cyp6a2",3797.75993114076,3697.61377252512,2331.49217351685,1033.48952515914,1054.96029718397,5106.91213555843,617.604888676574,408.712932979436,489.079556217247,1218.54442301712
"DNaseII",262.898128010362,29.8018253823724,34.6170805025269,805.526851431528,64.1330948707127,71.6790917766423,43.7706806221416,70.4052421830088,26.3362569863499,72.3499978013798
"dnc",2265.94491586629,862.463031043044,1784.03347604367,1293.40748041105,1956.93424989975,804.206720876846,1141.12180658958,1867.15111630004,1475.11706628721,1337.2499959991
"dor",448.954717025139,465.557465167371,479.88363419516,433.817123094433,457.074248562571,453.265969438944,407.194617196355,462.47063172822,405.305589466677,503.018023772273
"Pka-C3",82.6292195672539,111.940027712207,128.295730111438,48.253122163489,60.0525758924089,78.7247080928395,129.289713130458,95.1584887113273,69.3808174825108,94.8754874691322
"dpp",151.635138148849,164.093145426015,174.527711230304,39.3553344691319,85.210273532749,165.839340628796,123.330787188671,106.702828269202,70.6304593972981,80.3878292527593
"Dr",0.391971368541725,3.35093550629048,1.34654187208708,2.07015916950112,2.01343211421656,4.80256914479545,3.68813802045311,3.39998390306821,0.483175171260275,5.1577130060458
"ds",24.9682530709505,3.7516883721018,1.91457005972571,3.81906951699566,1.48438621248723,6.52344293415435,3.50289094729576,0.418199575219924,2.56993404498485,3.33492961844005
"dsh",490.947988988691,453.651279484246,499.63589982175,418.507472358341,438.119094935361,454.521946399084,486.927580643873,506.744109449732,519.930013402564,512.448556121811
"Dsk",0,0.574652598988616,0.804522936650831,0,0,0.137457301540017,1.90449590196103,0,1.45775526912697,0
"dsx",1364.18498857449,595.745434383188,1019.67625824485,693.033759074645,855.608947071132,428.955620879048,543.599411566017,918.575126248151,850.119829362481,658.884172248018
"dwg",249.838267434518,230.459058497786,202.841179677445,182.372399926812,166.191776761702,222.845078740848,183.896722640046,172.749744510809,171.72428676252,193.772616378732
"dx",446.661550927957,360.819922939538,396.297396276521,440.150514889606,337.362935172431,321.927708902298,428.924525209229,385.457376063121,542.250287250173,323.174259109589
"e",7.67630376705163,2.19506491718142,0.243544095553738,2.90001577429314,13.2195148526242,1.67844674815062,0.238061987745129,0.933556699923317,2.95825305372391,2.47064840637572
"bsh",2.10276051736982,0.336599733829244,0,0.542817631619855,1.00671605710828,0.658610915814323,0,0,0,0.524082551290474
"ea",7.23491839439308,12.5495811610998,8.73624324956067,26.9118808947906,1.61848860151431,9.09773612463911,32.9932596223964,8.29674771735279,61.868794007987,25.3529644179053
"eag",15.4356300987301,9.88547217682598,3.91396684223347,6.76520935919101,10.8593093571828,5.73357891247346,7.07260557040843,17.3973160138008,3.18154900345897,2.33178993987685
"eas",4650.18258874264,4918.00256689322,5215.66320406085,3204.3562783076,2452.72873002564,4932.76145804212,3289.95678236294,2460.50525794989,3083.70628940934,3691.28319357826
"E(bx)",3634.9275880183,2965.49155451617,2995.27186794999,2147.98389031898,2440.67077908385,2778.21857160334,2454.92805824816,2215.75382711219,2816.72767948261,1768.75308454485
"ec",6.95978772044925,10.052740517179,8.54276868575793,7.7036091975502,7.22908927267977,5.07127955220203,17.370274023263,0.933556699923317,6.6454098876709,9.63226046480894
"ecd",383.836186959034,245.303189950286,321.790210186711,361.364182685808,351.448813727237,224.499597861761,363.499652969684,257.22082952645,298.11822953585,322.313756781444
"EcR",497.416263049652,501.777925719962,405.591091121886,304.554516617626,289.084763600332,480.298963459502,349.663631716937,438.55524979679,470.241609271521,340.120039264437
"ed",499.235654209631,212.426991435574,162.769646768227,292.732478855705,121.417469264167,145.60219451109,302.947033567828,133.575214273433,367.159241016009,151.225903931956
"Edg78E",0,0.231487474027544,0.862978354250373,0,1.66816371663686,0,0.581668714893013,0,0,0.24815542899535
